start	end	text
0	4000	Редактор субтитров А.Синецкая Корректор А.Егорова
30000	33000	Корректор А.Кулакова
60000	63000	Корректор А.Кулакова
90000	93000	Корректор А.Кулакова
120000	123000	Корректор А.Кулакова
150000	153000	Корректор А.Кулакова
180000	183000	Корректор А.Кулакова
210000	213000	Корректор А.Кулакова
240000	243000	Корректор А.Кулакова
270000	273000	Корректор А.Кулакова
300000	303000	Корректор А.Кулакова
330000	333000	Корректор А.Кулакова
360000	363000	Корректор А.Кулакова
390000	393000	Корректор А.Кулакова
420000	423000	Корректор А.Кулакова
450000	453000	Корректор А.Кулакова
480000	483000	Корректор А.Кулакова
510000	513000	Корректор А.Кулакова
540000	543000	Корректор А.Кулакова
570000	573000	Корректор А.Кулакова
600000	603000	Корректор А.Кулакова
630000	633000	Корректор А.Кулакова
660000	663000	Корректор А.Кулакова
690000	693000	Корректор А.Кулакова
720000	723000	Корректор А.Кулакова
750000	753000	Корректор А.Кулакова
780000	783440	в этой функции наша крутина может быть остановлена.
783440	784440	Вот и все.
784440	787960	После того, как данная функция будет скомпилирована окончательно,
787960	793160	она немножечко трансформируется в не совсем читаемый для нас вид,
793160	797760	но как раз компилятор сделает вывод из того, что функция является suspend
797760	801840	и сделает определенные доработки нашего кода,
801840	805280	которые позволят нам в определенный момент останавливать крутину,
805280	809440	а потом ее возобновлять, то есть доставать из недр наш стек вызовов
809440	817320	всех функций и начинать дальнейшую обработку кода с того места, где мы закончили.
817320	822400	Вот это, наверное, главная мысль, которую нужно вытащить из этого слайда.
822400	823400	Идем дальше.
823400	827400	Какие основные фишки крутин? Почему мы вообще их сегодня рассматриваем,
827400	828960	помимо того, что только что обсудили?
828960	833000	Они соблюдают принцип structure concurrent. Что это значит?
833000	838480	Это значит, что у нас есть возможность выстроить взаимосвязь
838480	840840	между родительскими крутинами и дочерними.
840840	847400	В примере из пятницы я вам показывал, как можно из одного потока создать другие потоки
847400	852040	и запустить их дальше. Вот они живут там у себя и вычисляют что-то,
852040	853680	но мы их особо не контролируем.
853680	862840	Но вот в крутинах есть возможность из родительской крутины достать несколько дочерних,
862840	865400	и у нас будет явная взаимосвязь между ними.
